customer_id,age,gender,marital_status,city,education_level,employment_status,income,credit_score,years_employed,loan_amount,loan_term_months,existing_debt,previous_loans,late_payments,monthly_expenses,savings_balance,debt_to_income_ratio,loan_purpose,default_probability,loan_default
22,44,Female,Married,Chennai,PhD,Student,2006445,381,13,177121,24,1298043,0,8,119435,2311684,0.65,Home,0.678,1
23,33,Female,Married,Delhi,High School,Salaried,1200111,546,0,2163138,60,1286617,3,7,108858,1812157,1.07,Car,0.889,1
24,32,Female,Single,Delhi,Master,Salaried,2360013,763,10,402339,84,971421,6,0,37778,611869,0.41,Business,0.197,0
25,31,Male,Single,Kolkata,Bachelor,Student,2310913,407,7,302021,60,952120,7,5,85803,1809306,0.41,Car,0.65,0
26,58,Male,Single,Lucknow,Master,Salaried,807402,631,24,2240901,84,1024517,9,2,138081,1919726,1.27,Personal,0.374,1
27,56,Female,Married,Mumbai,Bachelor,Business,2612829,511,31,1434690,36,934663,2,0,119074,1351183,0.36,Personal,0.469,0
28,30,Female,Single,Hyderabad,Bachelor,Business,838167,708,1,1188324,48,522478,7,8,40983,931746,0.62,Home,0.236,1
29,39,Male,Married,Chennai,Bachelor,Salaried,1249611,480,9,591844,84,564175,2,2,63113,2035272,0.45,Home,0.315,0
30,54,Female,Single,Jaipur,PhD,Self-Employed,1952802,646,20,785215,60,1430582,5,4,72400,1798387,0.73,Business,0.404,1
31,27,Male,Single,Delhi,Bachelor,Salaried,1727162,486,6,946547,120,302266,8,11,148665,2188939,0.18,Home,0.454,1
32,49,Male,Married,Varanasi,High School,Salaried,2897902,793,25,611051,60,292290,0,8,121512,1042925,0.1,Home,0.28,0
33,40,Female,Married,Kolkata,High School,Salaried,1677362,594,19,1994690,48,1383568,1,8,125999,1797559,0.82,Home,0.874,1
34,62,Female,Married,Bengaluru,Bachelor,Salaried,481015,776,34,900637,36,611693,1,11,69928,1604744,1.27,Education,0.494,0
35,54,Male,Single,Kolkata,Master,Salaried,2936614,573,25,1936942,60,1370692,1,3,89815,1966173,0.47,Home,0.55,0
36,31,Male,Single,Mumbai,Bachelor,Salaried,1173411,706,2,604953,84,247718,3,6,16278,1543870,0.21,Car,0.254,0
37,58,Female,Divorced,Delhi,Bachelor,Self-Employed,2183729,788,36,2333631,48,150492,0,9,76885,1992563,0.07,Home,0.365,0
38,56,Male,Single,Bengaluru,High School,Student,1018603,707,26,640061,60,1092584,0,9,108681,1622100,1.07,Business,0.583,1
39,30,Female,Divorced,Chennai,High School,Self-Employed,2551970,579,1,617840,24,1211781,3,3,106254,269864,0.47,Education,0.425,0
40,44,Male,Single,Bengaluru,Bachelor,Salaried,2382009,759,21,848907,60,362697,1,4,93492,625699,0.15,Education,0.29,0
41,56,Male,Married,Delhi,Bachelor,Salaried,570524,434,33,1280617,84,1391195,4,0,146193,1776726,2.44,Car,0.689,1
42,31,Female,Single,Pune,Bachelor,Salaried,535742,357,11,1585922,12,169278,9,11,22228,1100462,0.32,Car,0.664,1
43,32,Male,Single,Delhi,Master,Salaried,1069964,599,0,1224673,84,1214939,2,9,61642,2342804,1.14,Home,0.779,1
44,28,Male,Single,Bengaluru,Master,Self-Employed,2492199,410,0,1643885,120,685970,0,3,62653,470739,0.28,Business,0.355,1
45,21,Male,Married,Delhi,Master,Salaried,2980780,748,0,668710,24,1111816,0,10,149684,1179919,0.37,Car,0.496,0
46,43,Male,Single,Lucknow,Master,Salaried,616374,495,22,2341801,48,889816,6,4,107317,172962,1.44,Business,0.904,1
47,21,Female,Married,Kolkata,High School,Salaried,570064,431,0,1768910,60,4949,5,9,94302,21858,0.01,Car,0.688,1
48,47,Male,Single,Delhi,Master,Salaried,1958449,485,23,1610187,12,593276,2,1,137171,80128,0.3,Business,0.323,1
49,39,Female,Married,Varanasi,Master,Salaried,250562,749,9,431763,36,1307476,7,11,40465,365492,5.22,Car,0.73,1
50,29,Female,Single,Lucknow,High School,Self-Employed,2073921,380,8,1958438,60,503320,8,6,90516,1452908,0.24,Car,0.598,1
51,37,Male,Single,Jaipur,High School,Salaried,973955,739,9,1187653,120,1365422,1,11,132767,1057069,1.4,Personal,0.613,0
52,21,Male,Single,Kolkata,Bachelor,Student,1487950,828,0,1789730,12,131915,1,8,119987,1866528,0.09,Business,0.272,1
53,27,Female,Divorced,Mumbai,High School,Salaried,269131,833,0,137673,12,129939,5,0,70678,2091176,0.48,Personal,0.059,0
54,42,Female,Single,Pune,Bachelor,Salaried,250846,576,9,2335890,60,1496373,7,9,36479,1698214,5.97,Car,0.95,1
55,24,Male,Married,Delhi,High School,Self-Employed,1026153,745,0,882535,84,289550,6,9,69181,1950304,0.28,Home,0.29,0
56,53,Male,Married,Varanasi,Bachelor,Salaried,2955403,766,31,1282367,48,501870,8,4,109373,1744544,0.17,Car,0.275,0
57,32,Male,Single,Kolkata,Bachelor,Salaried,271567,440,12,2233025,12,339457,5,3,139278,576827,1.25,Education,0.632,1
58,62,Male,Divorced,Varanasi,High School,Self-Employed,2707862,770,30,2449205,36,686149,6,11,19527,1184049,0.25,Home,0.349,1
59,28,Male,Single,Delhi,Bachelor,Salaried,1702063,568,2,405014,48,1284642,8,5,108607,2368153,0.75,Education,0.708,1
60,49,Male,Married,Varanasi,Master,Salaried,1101419,659,29,1046399,120,713489,2,0,79726,1781788,0.65,Car,0.249,0
61,44,Male,Divorced,Jaipur,High School,Salaried,2496680,516,11,475169,60,213744,4,1,106808,392266,0.09,Home,0.231,0
62,62,Female,Married,Hyderabad,Bachelor,Student,1984897,724,41,803828,84,1142684,2,1,106426,2276866,0.58,Home,0.14,0
63,48,Female,Married,Jaipur,PhD,Business,620802,555,22,2496978,60,1149249,2,1,58997,2267522,1.85,Car,0.694,1
64,59,Male,Married,Kolkata,Bachelor,Salaried,2888584,648,28,1942852,48,415746,0,10,52268,908466,0.14,Home,0.29,1
65,41,Male,Married,Varanasi,Master,Salaried,2504136,847,17,910612,12,695452,7,7,118760,1176386,0.28,Car,0.194,0
66,30,Female,Single,Chennai,High School,Self-Employed,636184,595,10,566444,48,428442,6,5,82383,1724044,0.67,Education,0.504,1
67,29,Female,Married,Pune,Bachelor,Business,2119548,778,9,224927,60,1159356,1,6,56174,1997139,0.55,Business,0.395,1
68,59,Male,Married,Delhi,Bachelor,Salaried,2565063,648,36,782715,120,1343426,7,3,85044,1376246,0.52,Business,0.178,0
69,30,Male,Single,Kolkata,Bachelor,Salaried,1831072,378,7,1606874,12,469432,4,7,114661,2202391,0.26,Car,0.658,1
70,53,Male,Single,Delhi,Master,Business,898290,658,20,1854329,12,966243,1,7,31417,748189,1.08,Home,0.615,1
71,44,Male,Married,Mumbai,Bachelor,Salaried,1728357,785,16,1241505,36,934609,6,0,65756,1806689,0.54,Car,0.153,1
72,33,Male,Married,Pune,Master,Self-Employed,897720,627,3,1416992,60,1462272,7,5,18801,2352976,1.63,Home,0.579,0
73,39,Male,Married,Delhi,Bachelor,Self-Employed,1956069,808,11,2402583,36,4854,8,7,123800,2080997,0,Home,0.349,0
74,56,Male,Married,Bengaluru,Master,Business,1164044,830,33,2321648,36,1484042,7,6,23734,950156,1.27,Business,0.631,1
75,41,Male,Married,Chennai,High School,Salaried,711083,466,13,722609,24,1179223,2,0,129119,376070,1.66,Car,0.577,1
76,59,Male,Single,Bengaluru,Bachelor,Business,1519685,766,26,2183325,120,839141,0,9,37408,223054,0.55,Business,0.519,0
77,63,Male,Married,Delhi,Master,Self-Employed,2309831,563,40,1488503,84,236671,7,11,87757,699061,0.1,Business,0.475,1
78,34,Male,Married,Hyderabad,Master,Salaried,2447202,695,2,2085381,120,210031,9,7,42975,373540,0.09,Home,0.323,0
79,44,Male,Married,Varanasi,Bachelor,Self-Employed,981336,838,11,786107,36,1121853,9,5,86126,1407259,1.14,Car,0.587,0
80,44,Female,Divorced,Lucknow,Bachelor,Salaried,635914,709,19,492472,60,131940,8,2,122998,1372537,0.21,Business,0.01,0
81,45,Male,Single,Varanasi,Bachelor,Salaried,2715303,773,19,1911511,24,633528,9,5,106352,1717776,0.23,Business,0.29,1
82,24,Male,Married,Hyderabad,High School,Salaried,1718780,645,0,2039268,48,967101,3,4,101161,2064206,0.56,Car,0.491,0
83,37,Male,Married,Jaipur,Bachelor,Salaried,2928934,796,7,261100,36,540285,5,3,80885,949912,0.18,Car,0.052,0
84,47,Male,Single,Chennai,Bachelor,Salaried,2218579,781,22,2150282,120,281942,3,4,69110,996418,0.13,Home,0.422,1
85,62,Male,Single,Mumbai,Bachelor,Self-Employed,1085659,612,35,1894347,12,1050233,7,5,110033,1092264,0.97,Education,0.67,1
86,31,Female,Single,Pune,High School,Self-Employed,1319636,474,4,1640898,24,848292,5,4,52904,138290,0.64,Education,0.776,1
87,49,Male,Married,Chennai,Bachelor,Salaried,1916993,815,22,1812071,60,958231,3,2,99840,2087023,0.5,Business,0.303,1
88,55,Male,Married,Delhi,Bachelor,Salaried,2219558,669,27,1691395,84,1063553,3,1,45483,2121185,0.48,Home,0.206,0
89,62,Female,Single,Chennai,Bachelor,Business,854611,740,28,828622,12,1028587,8,3,133992,1905146,1.2,Education,0.371,0
90,28,Male,Married,Lucknow,High School,Business,1683065,637,4,538162,48,1106619,5,6,102582,1710928,0.66,Business,0.405,1
91,51,Female,Single,Lucknow,Master,Salaried,717560,455,22,258277,24,1208878,3,10,91682,1935992,1.68,Home,0.869,1
92,35,Male,Married,Varanasi,Bachelor,Business,681296,668,2,1213869,36,983911,2,1,35386,1634690,1.44,Car,0.338,1
93,40,Male,Single,Lucknow,Bachelor,Salaried,1749812,598,19,2329386,48,1476500,2,2,18077,424076,0.84,Personal,0.61,1
94,21,Female,Married,Chennai,High School,Salaried,2518631,770,0,592108,12,1042642,2,3,59823,70833,0.41,Car,0.211,0
95,53,Female,Married,Jaipur,Bachelor,Salaried,2818732,498,24,555556,84,956818,8,3,66705,908339,0.34,Car,0.536,0
96,22,Female,Married,Varanasi,High School,Salaried,1490195,695,0,1474298,48,762063,0,8,26314,159443,0.51,Home,0.484,0
97,37,Female,Divorced,Delhi,Bachelor,Salaried,2660432,753,5,74261,24,111000,2,0,113693,1707875,0.04,Home,0.044,0
98,43,Male,Married,Hyderabad,High School,Business,1280199,441,16,2219641,12,385317,2,10,57091,2406172,0.3,Business,0.63,0
99,51,Female,Single,Kolkata,Bachelor,Salaried,2611541,604,23,738194,12,557500,4,3,20402,1135687,0.21,Home,0.054,0
100,42,Male,Single,Hyderabad,Bachelor,Self-Employed,1393467,792,15,2183318,84,1094886,9,8,79313,1379091,0.79,Business,0.502,0
101,58,Male,Married,Varanasi,Bachelor,Self-Employed,2477083,746,31,2369412,84,1337625,9,9,48618,1693551,0.54,Home,0.495,0
102,26,Male,Married,Lucknow,Master,Self-Employed,2851435,785,0,1263318,84,1305928,1,10,60490,1290521,0.46,Business,0.474,1
103,32,Male,Divorced,Hyderabad,Bachelor,Salaried,1048970,846,6,1548242,120,1447268,1,1,135724,1554892,1.38,Car,0.415,1
104,32,Female,Single,Chennai,Bachelor,Business,1281902,582,4,1690212,36,991335,9,10,54949,1943225,0.77,Education,0.72,1
105,38,Male,Single,Chennai,Bachelor,Salaried,2695428,385,15,112416,36,91530,9,3,105454,1202848,0.03,Home,0.266,0
106,21,Male,Married,Varanasi,Master,Salaried,2204056,753,0,556091,24,406229,1,5,70387,538316,0.18,Personal,0.264,0
107,40,Male,Married,Mumbai,Master,Business,2784027,781,19,1264184,120,1289764,8,8,43357,1042974,0.46,Education,0.397,0
108,38,Female,Single,Mumbai,Master,Salaried,671161,798,14,1734029,36,1209999,5,11,138638,2108594,1.8,Education,0.68,1
109,47,Male,Single,Pune,High School,Salaried,1451761,772,23,1372423,60,735890,6,8,69843,1002454,0.51,Education,0.437,1
110,46,Male,Married,Lucknow,Bachelor,Salaried,1293734,650,13,1602914,48,273717,9,6,48025,2499991,0.21,Car,0.363,1
111,33,Male,Married,Pune,PhD,Salaried,2817987,687,0,2408759,48,1336839,6,4,64181,1322847,0.47,Home,0.465,0
112,40,Male,Married,Kolkata,Bachelor,Salaried,2288763,633,19,1029853,24,1050236,8,8,120183,927767,0.46,Business,0.493,0
113,43,Male,Married,Chennai,Bachelor,Salaried,1611319,612,13,567028,24,542808,0,4,149996,1957788,0.34,Home,0.335,0
114,58,Female,Married,Delhi,Bachelor,Salaried,2432656,767,28,1673140,24,911585,4,10,132914,1387402,0.37,Home,0.52,1
115,24,Female,Single,Delhi,High School,Salaried,2570833,508,2,651422,24,153786,8,7,134263,2082521,0.06,Home,0.501,1
116,48,Female,Married,Mumbai,Bachelor,Student,2859934,811,18,1184132,60,1255726,9,5,74847,531784,0.44,Business,0.462,1
117,24,Female,Married,Bengaluru,Bachelor,Salaried,948449,564,4,2312975,24,584247,4,0,129829,1608649,0.62,Education,0.31,0
118,32,Female,Married,Pune,Master,Salaried,2425732,788,3,2399809,84,1054856,4,2,58004,650990,0.43,Personal,0.352,0
119,40,Male,Single,Delhi,PhD,Salaried,2693191,671,17,50391,84,212416,2,3,138926,1062341,0.08,Home,0.01,0
120,57,Male,Married,Hyderabad,High School,Salaried,645953,822,25,1347591,12,1147854,8,7,75240,683143,1.78,Personal,0.653,1
121,36,Male,Single,Hyderabad,High School,Salaried,1152349,693,9,774456,48,976558,6,10,94464,682101,0.85,Education,0.501,1
122,43,Male,Married,Jaipur,High School,Salaried,2419366,628,22,1857852,24,656404,9,2,62046,1144698,0.27,Home,0.12,0
123,47,Male,Married,Mumbai,High School,Salaried,1147847,801,20,518487,36,1238623,3,11,28690,1906563,1.08,Home,0.579,1
124,55,Female,Married,Kolkata,Bachelor,Self-Employed,2735813,442,32,88923,12,817848,5,11,134524,1718080,0.3,Home,0.647,1
125,38,Male,Married,Jaipur,Bachelor,Self-Employed,1257217,659,17,2497769,60,739982,2,2,106912,232684,0.59,Car,0.21,1
126,46,Female,Married,Mumbai,Master,Self-Employed,1815360,513,15,1439452,36,1087255,7,10,147093,382909,0.6,Personal,0.684,1
127,58,Female,Married,Bengaluru,Bachelor,Business,2958303,542,25,1435123,48,18251,2,3,123132,2114066,0.01,Car,0.26,0
128,40,Male,Married,Chennai,High School,Salaried,335198,360,20,284621,48,254423,3,5,137309,909388,0.76,Home,0.623,1
129,63,Male,Single,Pune,Bachelor,Salaried,287941,786,33,1565973,12,653935,4,2,148276,804160,2.27,Personal,0.389,1
130,38,Male,Single,Lucknow,Bachelor,Salaried,2639568,844,15,852882,24,1067058,5,4,73698,1193843,0.4,Business,0.425,0
131,40,Male,Single,Chennai,Bachelor,Self-Employed,1770707,364,17,502585,36,1463312,5,7,56149,1172704,0.83,Education,0.824,1
132,22,Male,Single,Varanasi,High School,Business,307989,652,0,1618338,60,1470378,4,6,41369,1822640,4.77,Business,0.718,0
133,44,Female,Married,Pune,Bachelor,Salaried,525054,640,11,647832,84,1035177,4,6,95581,2364762,1.97,Business,0.628,0
134,42,Female,Married,Jaipur,Bachelor,Self-Employed,2204872,616,8,381933,84,273665,1,0,140375,1191950,0.12,Personal,0.01,0
135,39,Female,Single,Pune,Master,Salaried,2790029,384,16,1716164,12,29822,7,3,90578,154968,0.01,Personal,0.327,0
136,49,Male,Single,Varanasi,High School,Self-Employed,1861047,475,21,2282989,12,225580,0,6,49998,218858,0.12,Car,0.614,0
137,45,Male,Married,Mumbai,Master,Business,1605025,474,22,238146,24,652560,3,5,96183,748490,0.41,Personal,0.518,1
138,63,Female,Single,Hyderabad,High School,Salaried,937110,751,32,2420862,24,1376755,5,8,138795,1245431,1.47,Home,0.661,0
139,39,Male,Single,Delhi,High School,Salaried,303729,715,14,995923,24,187226,6,11,75836,1418427,0.62,Business,0.315,0
140,40,Male,Married,Mumbai,Bachelor,Salaried,1290124,369,11,1437418,36,658805,3,8,70907,183220,0.51,Education,0.466,1
141,57,Female,Single,Pune,Master,Salaried,2730910,647,35,54726,120,955999,5,10,28821,1172975,0.35,Home,0.423,1
142,42,Female,Married,Jaipur,Master,Salaried,1812565,665,18,52585,84,1208786,6,1,120285,2474696,0.67,Car,0.223,0
143,32,Female,Single,Mumbai,Bachelor,Business,913445,798,8,2293735,24,942276,3,9,90371,208511,1.03,Personal,0.689,0
144,44,Male,Married,Lucknow,Bachelor,Salaried,1630894,536,18,1846870,60,685450,6,8,63227,316459,0.42,Personal,0.599,1
145,43,Female,Single,Bengaluru,Bachelor,Salaried,2060619,448,12,1978241,24,62879,5,4,149882,62609,0.03,Home,0.577,0
146,39,Female,Married,Lucknow,Master,Salaried,684522,514,19,624433,36,635493,9,6,58770,1035889,0.93,Education,0.66,1
147,44,Female,Married,Chennai,Master,Business,1536149,681,11,1436026,48,1277376,8,7,115638,71334,0.83,Education,0.558,1
148,47,Male,Divorced,Chennai,Master,Student,2742812,691,16,1625868,84,884634,4,2,95399,1999830,0.32,Home,0.244,1
149,64,Male,Single,Delhi,High School,Salaried,1090709,502,41,2441984,24,48106,4,3,126133,689083,0.04,Car,0.391,0
150,24,Female,Single,Jaipur,High School,Business,2690652,388,0,2451821,48,931713,6,5,57106,997767,0.35,Business,0.702,1
151,62,Female,Single,Chennai,PhD,Self-Employed,625136,843,42,2310880,24,746858,3,5,59778,1519700,1.19,Home,0.617,0
152,42,Male,Single,Jaipur,High School,Salaried,1471438,509,11,1972066,12,79616,6,9,65230,2037359,0.05,Home,0.584,0
153,38,Male,Single,Chennai,Master,Salaried,2850135,394,5,489647,60,1287793,2,7,31498,1724476,0.45,Car,0.732,1
154,48,Male,Married,Mumbai,High School,Business,373846,762,15,108593,120,664327,5,3,125880,1325831,1.78,Home,0.24,1
155,26,Male,Married,Varanasi,Bachelor,Business,2623009,370,0,1921459,120,816453,6,1,26275,2340762,0.31,Home,0.47,1
156,54,Male,Single,Pune,Bachelor,Salaried,951725,750,34,554500,60,734057,3,6,18601,376351,0.77,Education,0.426,0
157,25,Male,Married,Bengaluru,Bachelor,Business,998209,374,0,2171520,120,718369,6,2,53093,428430,0.72,Home,0.506,1
158,40,Male,Married,Lucknow,Bachelor,Business,2401849,390,14,2208584,120,1392501,9,10,28725,1948366,0.58,Personal,0.695,1
159,30,Male,Divorced,Kolkata,Bachelor,Salaried,983323,375,5,227605,12,180467,7,11,132892,1610272,0.18,Home,0.544,1
160,34,Male,Single,Pune,Bachelor,Self-Employed,2162475,564,11,186662,24,373510,0,10,84569,770372,0.17,Car,0.52,1
161,42,Male,Divorced,Jaipur,Bachelor,Salaried,1348229,540,13,553502,48,497266,7,5,122297,1388749,0.37,Car,0.518,0
162,21,Female,Married,Chennai,Bachelor,Salaried,2339442,601,0,122072,12,421036,9,8,47108,111230,0.18,Business,0.363,0
163,60,Female,Married,Bengaluru,Bachelor,Salaried,2721973,693,31,1024466,24,1005392,4,10,66213,734293,0.37,Home,0.444,1
164,55,Female,Married,Hyderabad,Bachelor,Salaried,2826473,716,28,120517,36,1130663,9,4,56102,2234191,0.4,Business,0.453,0
165,64,Male,Single,Bengaluru,Bachelor,Self-Employed,2746131,452,41,1337947,36,1111267,9,7,47438,275166,0.4,Home,0.651,0
166,24,Male,Married,Pune,Bachelor,Salaried,2017503,812,1,1799432,36,484910,7,10,110688,1557,0.24,Car,0.365,1
167,28,Female,Married,Bengaluru,Master,Salaried,1842453,413,0,1505096,36,1222440,5,4,149767,1089378,0.66,Home,0.836,0
168,43,Female,Married,Delhi,High School,Salaried,2411211,466,21,226870,12,1097626,7,0,62233,1486595,0.46,Education,0.452,0
169,59,Female,Married,Lucknow,Master,Salaried,1395278,508,30,1348270,24,536939,4,2,137287,109066,0.38,Home,0.339,1
170,34,Male,Married,Delhi,Bachelor,Business,2870173,409,11,331414,36,83267,0,5,81575,1913501,0.03,Car,0.526,0
171,34,Male,Single,Lucknow,High School,Salaried,2420965,530,8,1832952,120,266037,9,0,22962,124720,0.11,Home,0.348,0
172,58,Male,Married,Jaipur,Bachelor,Student,1428824,837,35,243544,48,401751,0,7,47304,1281796,0.28,Education,0.218,0
173,21,Female,Single,Bengaluru,Bachelor,Salaried,2802686,400,1,2058617,48,525823,8,3,74758,509328,0.19,Business,0.398,0
174,63,Male,Married,Varanasi,Bachelor,Business,2095405,464,35,138720,120,990592,7,3,136137,1661407,0.47,Home,0.436,1
175,29,Male,Single,Chennai,Bachelor,Business,1108560,646,4,1217084,12,93988,6,6,125409,902766,0.08,Home,0.321,0
176,35,Male,Single,Hyderabad,Bachelor,Student,2159518,541,3,1830392,36,1153584,9,1,142609,1464925,0.53,Business,0.446,1
177,35,Male,Single,Lucknow,PhD,Business,852342,449,4,630351,84,1011816,8,6,50362,880067,1.19,Home,0.871,1
178,61,Male,Married,Pune,Bachelor,Business,2770820,370,31,435271,120,370496,8,7,40615,998566,0.13,Business,0.52,0
179,57,Male,Married,Mumbai,Master,Student,1706490,678,33,1529592,84,1151980,1,1,124457,1999176,0.68,Education,0.275,0
180,36,Male,Single,Jaipur,Bachelor,Salaried,1186017,632,14,2354672,60,649754,3,11,80385,1627867,0.55,Home,0.378,0
181,36,Male,Divorced,Varanasi,Master,Business,578841,690,15,2077712,60,1490319,7,0,108381,936292,2.57,Home,0.551,0
182,57,Male,Married,Delhi,Master,Self-Employed,1476895,824,24,2475599,48,276035,0,4,115328,625500,0.19,Home,0.419,0
183,33,Female,Married,Lucknow,Bachelor,Salaried,1322296,794,1,1795476,48,570588,4,6,87060,2049834,0.43,Personal,0.359,0
184,56,Female,Married,Hyderabad,Master,Salaried,1887617,622,23,2357597,24,149809,4,3,133427,1208024,0.08,Education,0.127,0
185,57,Male,Married,Delhi,Master,Self-Employed,1063595,565,29,102033,36,1362782,4,5,18924,500537,1.28,Business,0.862,0
186,50,Male,Married,Kolkata,Master,Salaried,2502471,565,19,1133233,60,565913,0,10,76999,1489614,0.23,Home,0.421,1
187,54,Male,Single,Lucknow,Master,Salaried,2893542,750,34,1312539,120,635796,5,1,91451,791863,0.22,Car,0.053,0
188,31,Male,Single,Bengaluru,PhD,Self-Employed,1857780,841,5,950139,84,1000503,1,6,133205,1423844,0.54,Car,0.448,0
189,46,Male,Married,Bengaluru,Bachelor,Salaried,708870,663,19,326833,120,1089486,5,4,24294,1497622,1.54,Personal,0.584,0
190,27,Male,Married,Kolkata,Bachelor,Salaried,2210366,614,0,2122812,60,412364,7,8,111862,603058,0.19,Home,0.334,0
191,23,Female,Married,Mumbai,Bachelor,Business,1480617,524,0,1046542,120,122379,8,1,114832,2320673,0.08,Business,0.264,0
192,40,Male,Single,Pune,Master,Salaried,1580364,685,8,2013314,48,1090840,7,4,117794,2022833,0.69,Personal,0.5,0
193,34,Male,Married,Jaipur,Master,Self-Employed,656473,832,2,634560,60,491497,3,3,72955,1588093,0.75,Home,0.025,0
194,27,Female,Single,Lucknow,Bachelor,Business,1595618,583,3,2274832,36,29258,1,11,40658,1011387,0.02,Home,0.527,1
195,44,Female,Married,Delhi,Master,Salaried,1566759,485,13,1330566,120,79748,6,5,47040,2221512,0.05,Business,0.508,1
196,60,Male,Married,Lucknow,PhD,Self-Employed,1871021,431,39,2186438,84,1134636,9,11,76690,1600446,0.61,Business,0.81,0
197,32,Male,Single,Pune,Bachelor,Business,2562653,664,9,1230808,84,1481779,0,4,115879,1608901,0.58,Business,0.422,1
198,29,Female,Single,Pune,Bachelor,Self-Employed,1762799,843,0,2191728,12,1231457,8,9,104124,2308128,0.7,Education,0.478,1
199,60,Female,Single,Chennai,Master,Salaried,1247275,736,29,2210944,84,1357162,4,7,24475,453186,1.09,Home,0.76,1
200,22,Female,Married,Chennai,High School,Business,2805816,403,0,1291336,12,623661,6,6,37743,28571,0.22,Business,0.531,0
201,47,Female,Single,Chennai,Bachelor,Salaried,606404,406,20,2344240,36,744273,4,10,144503,1010166,1.23,Home,0.9,1
202,46,Female,Married,Lucknow,PhD,Salaried,364496,705,23,649000,120,972162,5,8,92087,1148167,2.67,Personal,0.721,1
203,42,Female,Single,Hyderabad,Bachelor,Student,2304876,593,19,486653,60,1185561,7,10,52409,1180303,0.51,Personal,0.688,1
204,40,Female,Single,Pune,Bachelor,Salaried,676901,789,9,2445487,60,626348,1,5,80972,628605,0.93,Education,0.499,0
205,22,Male,Married,Hyderabad,Bachelor,Self-Employed,2570059,626,2,2213891,84,335311,2,11,141142,2416880,0.13,Business,0.332,1
206,59,Female,Married,Pune,High School,Salaried,420168,532,29,145365,36,1012617,1,4,38672,1489065,2.41,Car,0.86,1
207,24,Male,Single,Bengaluru,PhD,Self-Employed,1750138,394,4,83715,12,1420548,7,8,44649,624530,0.81,Education,0.79,1
208,28,Female,Married,Lucknow,Bachelor,Salaried,1326187,628,0,2389072,12,142902,3,9,106596,1068289,0.11,Home,0.418,0
209,60,Female,Single,Bengaluru,Bachelor,Self-Employed,2943465,587,33,2089650,12,78803,4,4,98902,551920,0.03,Education,0.626,0
